Name,Frequency
Abad,1
Abatayo,1
Abaya,1
Abayan,1
Abella,1
Acevedo,1
Acosta,1
Acuña,1
Adlawan,1
Agcaoili,1
Aguilar,1
Alcántar,1
Alcántara,1
Alejandro,1
Alejo,1
Alférez,1
Alicante,1
Alonzo,1
Álvarez,1
Amparo,1
Ancheta,1
Andal,1
Andrada,1
Araneta,1
Arboleda,1
Arce,1
Arcega,1
Arcilla,1
Austria,1
Azarcón,1
Balandra,1
Balangao,1
Balbutin,1
Balgos,1
Balingit,1
Baluyot,1
Barcelona,1
Barerra,1
Baylosis,1
Bayona,1
Belisario,1
Belleza,1
Bello,1
Benavides,1
Benítez,1
Bernardino,1
Bernardo,1
Bituin,1
Bondoc,1
Bontia,1
Bristol,1
Buclod,1
Buenaflor,1
Buenavidez,1
Buenconsejo,1
Buendía,1
Buenpacífico,1
Bulan,1
Buñag,1
Cabahug,1
Caballero,1
Cabangon,1
Cabrales,1
Cabrera,1
Cabungcal,1
Cachuela,1
Campong,1
Canencia,1
Canlas,1
Cantillo,1
Capili,1
Capillo,1
Capulong,1
Carandang,1
Carrasco,1
Castañares,1
Castañeda,1
Castillo,1
Catacutan,1
Cayabyab,1
Cayetano,1
Centino,1
Cerezo,1
Cerinza,1
Cervantes,1
Chávez,1
Clemente,1
Concepción,1
Cordero,1
Corporal,1
Corpuz,1
Costales,1
Cuenca,1
Cuenco,1
Cueva,1
Cunanan,1
Custodio,1
Dabi,1
Daclan,1
Dagohoy,1
Dalrymple,1
Defensor,1
Deocampo,1
Digamon,1
Dilag,1
Dimaculangan,1
Dimalanta,1
Divinagracia,1
Domingo,1
Duarna,1
Dueñas,1
Dulay,1
Dulce,1
Dumlao,1
Elorza,1
Escalante,1
Escaño,1
Escribano,1
Español,1
Espejo,1
Etrone,1
Europa,1
Evangelista,1
Fazon,1
Fernández,1
Fernando,1
Ferrer,1
Flores,1
Formalouza,1
Galang,1
Galíndez,1
Gatdula,1
Gatus,1
Gica,1
Gil,1
Gómez,1
Gonzaga,1
Gonzáles,1
Guadarrama,1
Halili,1
Hinojosa,1
Hojas,1
Ilagan,1
Inárez,1
Infanta,1
Infante,1
Iriberri,1
Isip,1
Jabillo,1
Jacinto,1
Jalandoni,1
Javier,1
Lacanilao,1
Lacsamana,1
Lagman,1
Lara,1
Laurel,1
Lavares,1
Legaspí,1
Legazpí,1
Leones,1
Libunao,1
Lingao,1
Liwag,1
Liwanag,1
Lontok,1
Lorenzo,1
Lualhati,1
Macalinao,1
Macaraeg,1
Macaraig,1
Macatangay,1
Macrohon,1
Madrid,1
Magnaye,1
Magno,1
Magsakay,1
Magsino,1
Malaluan,1
Malano,1
Mallari,1
Mamaril,1
Manabat,1
Manalastas,1
Manalo,1
Manaloto,1
Mangahas,1
Manzano,1
Maranan,1
Marcelo,1
Mariano,1
Masancay,1
Matias,1
Matías,1
Mayor,1
Medina,1
Mención,1
Méndez,1
Mercadejas,1
Mercado,1
Mesías,1
Mindoro,1
Mineque,1
Miranda,1
Montano,1
Montelibano,1
Monteloyola,1
Montenegro,1
Montero,1
Monteverde,1
Monzón,1
Munsayac,1
Nallos,1
Natividad,1
Naval,1
Navarro,1
Órdenes,1
Ouano,1
Padilla,1
Paloma,1
Pamplona,1
Pasa,1
Patacsil,1
Pavia,1
Pelayo,1
Pérez,1
Piñero,1
Pizarro,1
Portugal,1
Prieto,1
Punzalan,1
Quema,1
Quiñones,1
Ramientos,1
Ramírez,1
Razón,1
Recio,1
Recto,1
Reoja,1
Riego,1
Rioja,1
Roces,1
Rodríguez,1
Rosario,1
Roxas,1
Rubio,1
Salinas,1
Salvador,1
Sánchez,1
Santillán,1
Sarte,1
Sevilla,1
Sicat,1
Silva,1
Silvestre,1
Solas,1
Solivio,1
Subejano,1
Sullano,1
Talavér,1
Talion,1
Tanilon,1
Tayag,1
Tejada,1
Tibayan,1
Tolosa,1
Torres,1
Tugonon,1
Tumulak,1
Vargas,1
Veluz,1
Villamor,1
Villanueva,1
Villarin,1
Villarino,1
Villarosa,1
Villegas,1
Vizcaya,1
Yao,1
Yllana,1
Zafra,1
Zoleta,1
Zulueta,1
Santiaguel,1
Reyes,1
Santos,1
Saporsantos,1
Arguelles,1
Villareal,1
Tolentino,1
Samson,1
Mangila,1
Sardea,1
Ambat,1
Apar,1
Alarcon,1
Maliksi,1
Tenorio,1
Fajardo,1
Revilla,1
De la cruz,1
De leon,1
Garcia,1
Ramos,1
Ballesteros,1
Arroyo,1
Zurbano,1
Sarvida,1
Villar,1
Mendoza,1
Bautista,1
Rivera,1
Santiago,1
Diaz,1
Valdez,1
Morales,1
Del Rosario,1
Gutierrez,1
Montalban,1
David,1
Sarmiento,1
Pascua,1
De los Reyes,1
De los Santos,1
Jimenez,1
Cortez,1
Rosales,1
Ocampo,1
De Ocampo,1
Romero,1
De Jesus,1
Ignacio,1
Angeles,1
Espiritu,1
Espinosa,1
Ortega,1
Tamayo,1
Atienza,1
Estrada,1
Sison,1
Trinidad,1
Zamora,1
Moreno,1
De Castro,1
Castro,1
Panganiban,1
Pangilinan,1
Dela Torre,1
Solis,1
Roque,1
Esguerra,1
Gabriel,1
Mendez,1
Gamboa,1
Bartolome,1
Sales,1
Ponce,1
Baltazar,1
Padua,1
Andaya,1
Aguirre,1
Baguio,1
Ronquillo,1
Apostol,1
Umali,1
San Juan,1
Constantino,1
Baylon,1
Velasquez,1
Marcos,1
Crisostomo,1
Tomás,1
Magallanes,1
Borromeo,1
Lacson,1
Lasquete,1
Bonifacio,1
Rizal,1
Sebastian,1
Espina,1
Lucas,1
Dominguez,1
Solomon,1
Raymundo,1
Paras,1
De Mesa,1
Pimentel,1
Muñoz,1
Hilario,1
Sotto,1
Advincula,1
Nepomuceno,1
Meneses,1
Aguinaldo,1
Policarpio,1
Encarnacion,1
Mojica,1
Simon,1
Almazan,1
Palmes,1
De Guia,1
Comia,1
Poblete,1
Regis,1
Quezon,1
Quizon,1
Magsaysay,1
Apolinario,1
Tubid,1
Cruz,1
Aquino,1
Salazar,1
Yap,1
Caguioa,1
Lopez,1
Fernandez,1
Mejia,1
Pingris,1
Ravena,1
Taulava,1
Abarrientos,1
Patrimonio,1
Abueva,1
Alapag,1
Cabagnot,1
Lastimosa,1
Ildefonso,1
Racela,1
Fonacier,1
Magsanoc,1
Baclao,1
Baracael,1
Belo,1
Cortes,1
Dehesa,1
Elorde,1
Rafa,1
Paredes,1
Intal,1
Giménez,1
Revillame,1
Saratan,1
Barco,1
Martin,1
Balzote,1
Pedrosa,1
Ladaran,1
Santarin,1
Minaldo,1
Amper,1
Felix,1
Hubahib,1
Mapalo,1
Belmes,1
Enriquez,1
Alerta,1
Sawal,1
Alvarez,1
